released_year,streams,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify
2022,595900742,G,Major,78,64,69,4,0,7,14,summer,2,True
2023,51985779,A,Minor,43,14,74,1,0,19,8,summer,1,True
2023,57945987,G#,Major,79,58,62,11,0,11,23,spring,1,True
2023,115010040,G,Major,82,47,62,10,0,10,15,spring,1,True
2023,175097833,A#,Minor,82,54,44,6,0,33,7,spring,3,True
2023,57089066,C#,Major,78,20,70,1,0,16,4,spring,2,False
2022,488386797,A#,Major,73,10,44,26,0,16,8,fall,1,True
2023,32761689,F,Major,92,59,51,41,51,26,8,summer,1,False
2022,1047480053,G,Minor,80,23,48,14,0,6,5,spring,1,True
2023,153454328,F#,Major,59,63,89,18,0,80,9,winter,3,True
2023,217672943,A,Major,91,63,58,52,0,31,22,winter,2,True
2022,457184829,B,Major,49,4,55,7,0,6,3,fall,3,True
2016,939844851,A,Major,47,27,78,11,0,10,8,winter,3,True
2021,726434358,A#,Major,34,25,51,69,0,18,4,fall,3,True
2022,573633020,B,Minor,56,42,52,5,0,36,24,fall,3,True
2021,1406111294,F,Major,60,13,37,58,0,13,3,fall,3,True
2023,71573339,A,Minor,84,55,47,26,0,20,64,spring,2,True
2023,24975653,B,Major,83,25,69,4,0,23,12,summer,3,False
2023,145458418,D,Major,67,55,67,60,0,80,5,winter,2,True
2000,1424589568,F,Minor,95,78,66,3,0,4,6,winter,1,True
2022,231332117,F#,Minor,84,96,79,43,0,18,11,winter,1,True
2021,415932686,F#,Minor,65,46,53,16,0,9,5,winter,1,True
2022,988515741,G#,Major,44,27,32,89,0,14,5,summer,3,True
2023,50847624,C#,Minor,62,56,66,18,0,12,5,spring,3,True
2023,39893489,F#,Minor,50,44,76,10,0,32,5,spring,3,False
2023,92035115,E,Minor,80,38,88,11,0,11,5,spring,1,True
2023,118810253,G,Major,70,83,84,31,0,47,30,spring,1,True
2023,77233241,F#,Minor,77,69,58,39,0,26,5,spring,2,True
2023,206399629,B,Major,52,57,48,86,0,15,39,winter,1,True
2023,117747907,F,Major,44,36,41,50,0,38,5,spring,1,True
2023,266624541,C#,Minor,79,58,78,34,0,11,25,winter,3,True
2022,293186992,A,Major,51,27,33,48,0,22,3,spring,3,True
2023,139681964,D,Major,77,94,66,65,0,38,3,winter,2,True
2023,123132751,E,Minor,68,38,88,1,0,8,5,spring,2,True
1997,103762518,F,Major,74,75,73,42,0,9,4,winter,3,True
2023,162887075,D,Major,93,47,47,33,0,10,36,spring,1,True
2023,91221625,G#,Major,77,35,88,16,0,17,9,spring,3,True
2022,190490915,F#,Minor,94,71,61,12,0,53,42,spring,2,True
2023,96180277,A,Minor,60,10,57,1,0,50,3,spring,2,False
2019,185240616,D,Major,72,40,47,71,0,13,4,summer,1,True
2022,885093467,C#,Major,87,53,52,66,1,11,5,spring,2,True
2023,104992946,A,Major,90,74,68,14,0,10,19,spring,3,True
2023,147290338,A,Major,57,80,59,8,0,6,5,winter,3,True
2021,1302184087,D,Major,79,82,86,28,0,4,9,fall,3,True
2022,158950978,E,Minor,76,80,81,19,0,6,9,winter,3,True
2023,76910644,B,Minor,76,26,70,1,0,41,6,spring,2,True
2022,137123880,G,Major,70,35,41,41,0,10,3,summer,3,True
2022,782369383,G,Major,92,78,62,18,0,6,10,summer,2,True
2022,502574952,A#,Major,84,88,53,35,0,8,7,fall,3,True
2023,207033255,B,Minor,69,36,90,1,10,15,4,winter,2,True
2022,404887295,F,Major,59,69,53,12,0,23,3,spring,3,True
2022,381161027,B,Minor,75,55,76,25,0,10,15,fall,1,True
2014,466231982,F,Minor,56,57,87,0,1,10,4,summer,1,True
2021,357580552,G,Minor,59,15,64,43,90,12,10,fall,3,True
2023,61105704,G,Minor,80,33,70,22,0,9,4,spring,2,True
2022,198275403,D#,Minor,70,77,48,37,0,12,5,winter,3,True
2023,168448603,C#,Minor,59,56,82,12,0,12,6,spring,3,True
2018,705469769,A#,Major,32,17,74,14,0,17,3,spring,2,True
2023,34502215,B,Minor,54,19,48,36,0,37,5,spring,3,False
2022,482175240,B,Major,82,67,69,0,0,18,4,fall,2,True
2022,304118600,G#,Major,89,61,66,17,0,36,16,winter,1,True
2018,1449799467,C#,Major,45,17,60,21,0,33,4,spring,3,True
