released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify,class_label_apple_chart_category
2016,6518,684675814,45,238,G#,Major,71,40,50,16,0,16,22,4,3,True,2
2014,21335,1113838873,328,"1,378",G,Major,65,95,80,5,0,41,16,1,3,True,2
2013,23389,1267333350,54,"1,089",D,Major,70,81,63,4,0,8,4,1,1,True,2
2022,3202,726307468,148,226,D#,Major,56,53,64,11,0,45,6,2,3,True,2
2017,32181,3562543890,33,"6,808",C#,Minor,83,93,65,58,0,9,8,1,1,True,5
2014,7124,1131090940,60,2,G#,Major,67,40,52,86,0,12,4,4,2,True,1
2023,592,307370144,11,6,G#,Major,70,37,54,6,0,9,8,1,1,True,2
1992,36724,1271293243,146,"6,807",G,Major,53,12,34,1,0,12,4,4,1,True,2
2019,794,265882712,38,61,A,Major,34,24,56,4,0,11,3,4,3,True,1
2017,13091,841749534,61,790,F,Major,37,17,47,2,46,11,3,2,1,True,2
2023,67,47956378,7,0,E,Minor,74,36,63,26,0,27,5,2,1,True,1
2016,21574,806397070,112,266,A,Major,54,54,55,67,0,42,11,3,3,True,2
2019,19664,2132335812,391,633,D#,Major,70,59,75,24,0,9,4,3,2,True,2
2010,21106,1641426668,82,"2,946",F,Major,63,46,85,1,0,9,5,1,2,True,5
2013,23804,2135158446,187,"4,623",E,Minor,57,41,66,63,0,12,5,4,2,True,2
2022,849,367316268,27,21,G,Major,54,75,60,30,0,7,5,1,3,True,3
2021,2619,350381515,47,1,F#,Major,63,49,73,5,0,9,3,2,2,True,2
2022,9037,1264310836,124,139,F,Minor,65,19,72,10,0,13,25,2,2,True,3
2023,86,30343206,3,3,B,Minor,50,67,89,0,0,19,8,3,3,True,1
2020,1788,405136812,1,19,A,Minor,48,37,41,32,0,10,10,1,3,True,1
1968,15890,1145727611,71,653,A#,Major,74,76,70,7,0,13,3,3,2,True,1
2010,492,540654286,4,19,F#,Minor,84,52,77,12,0,7,4,3,1,True,1
2023,773,57312735,20,21,G#,Minor,62,55,80,15,0,37,7,3,3,True,1
2022,1154,397582059,28,11,F#,Minor,81,18,64,3,0,10,11,1,3,True,3
1984,44927,1479115056,34,"5,108",F#,Minor,57,86,90,2,0,9,5,4,1,True,5
2023,551,86773632,13,20,B,Minor,61,20,48,21,0,12,6,3,3,True,1
2023,577,133753727,22,15,A#,Minor,53,24,67,11,0,10,28,2,1,True,1
2023,955,123124076,37,79,B,Major,75,35,48,84,0,10,12,2,3,True,1
2022,995,463564958,12,9,B,Minor,77,79,73,15,0,27,10,4,3,True,3
2023,178,64533040,6,1,E,Major,56,53,55,53,0,12,4,2,1,True,2
2023,290,65496046,9,5,F,Minor,89,67,78,9,0,7,33,3,1,True,2
2023,547,68616963,15,6,F,Major,67,24,78,15,0,30,4,2,2,False,1
2023,681,161460990,15,21,D,Major,85,53,68,40,0,9,4,2,3,True,2
2023,332,70106975,18,5,A,Major,78,5,30,21,0,13,5,3,2,True,1
2023,1197,113509496,44,25,C#,Major,82,51,39,2,0,9,49,2,3,True,1
2023,262,89933133,8,4,G#,Major,70,42,43,78,0,11,3,2,2,True,2
2022,161,71007139,10,2,F,Minor,80,85,74,62,0,8,9,4,3,True,2
2023,185,43522589,5,4,A#,Minor,73,45,62,28,0,13,13,3,1,True,1
2023,839,232896922,20,20,A,Minor,84,64,39,3,0,11,4,2,2,True,3
2023,259,37126685,5,5,A,Minor,77,28,55,18,0,22,15,3,3,False,1
2023,2915,195576623,116,107,D,Major,78,39,53,30,0,11,6,2,2,True,2
2022,5129,532336353,116,114,D,Major,54,25,74,14,0,9,11,4,1,True,2
2022,3794,538115192,47,53,G#,Major,71,58,70,30,0,32,19,4,2,True,2
2023,588,46142772,23,31,G#,Major,62,7,62,6,0,58,6,2,1,False,1
2022,2959,401036314,41,38,F,Minor,72,45,59,14,0,20,21,1,2,True,2
2023,291,127026613,8,4,A,Minor,78,90,84,31,0,7,4,2,3,True,2
2022,2321,345031710,29,34,G#,Minor,74,61,83,11,0,35,6,1,1,True,2
2022,536,288101651,10,8,G#,Major,66,85,60,40,0,14,13,1,3,True,2
2023,359,60350538,1,9,F#,Minor,66,32,40,81,0,11,3,2,2,True,5
2022,4096,335074782,118,143,F#,Major,95,62,52,3,0,5,16,4,1,True,1
2023,349,76767396,8,5,C#,Major,80,69,78,28,0,11,14,2,1,True,2
2023,381,46065667,23,6,B,Major,76,61,58,6,0,16,3,2,3,True,2
2022,2461,459276435,47,45,E,Minor,71,59,56,4,0,27,12,3,3,True,2
2023,277,39666245,1,5,F#,Major,59,26,60,46,1,25,13,3,1,True,1
2023,967,138517666,7,51,F#,Major,63,75,92,31,0,91,5,2,3,True,1
2022,8186,822633917,155,131,C#,Major,69,69,51,63,0,38,4,3,3,True,2
2022,7842,595900742,215,330,G,Major,78,64,69,4,0,7,14,3,2,True,2
2023,215,51985779,6,8,A,Minor,43,14,74,1,0,19,8,3,1,True,1
2023,1134,57945987,39,48,G#,Major,79,58,62,11,0,11,23,2,1,True,1
2023,1305,115010040,29,43,G,Major,82,47,62,10,0,10,15,2,1,True,1
2023,2066,175097833,58,43,A#,Minor,82,54,44,6,0,33,7,2,3,True,2
2023,896,57089066,34,33,C#,Major,78,20,70,1,0,16,4,2,2,False,1
2022,3763,488386797,51,38,A#,Major,73,10,44,26,0,16,8,4,1,True,1
